4009
pivovar
249,264,0
hospoda
52,83,5
88,121,8
77,160,12
107,152,35
162,49,36
30,108,60
55,55,67
161,7,68
56,115,71
129,97,74
101,0,76
110,100,95
111,79,118
151,92,121
96,145,132
18,108,138
87,74,142
155,15,144
84,5,145
110,11,147
70,100,153
39,98,162
115,19,170
56,157,181
65,40,184
35,166,196
53,152,200
17,19,212
61,94,222
140,58,232
17,6,242
24,11,245
1,94,252
158,92,259
17,149,263
33,67,309
102,159,310
164,63,317
84,8,319
129,92,327
39,100,329
49,97,343
8,115,360
155,46,389
65,80,396
161,100,397
164,132,399
116,3,416
2,47,418
82,165,419
130,107,429
121,149,437
116,10,446
25,144,453
114,65,454
156,25,455
58,130,459
55,112,463
131,89,465
141,90,470
8,40,473
28,21,474
130,79,488
39,119,496
23,95,506
100,92,507
145,130,511
87,18,518
80,135,531
46,57,557
38,51,578
163,25,584
114,91,606
164,72,616
136,164,617
76,90,619
24,40,624
147,92,625
129,42,637
36,127,647
12,84,660
52,163,664
2,142,667
90,153,673
53,101,681
167,4,687
154,64,689
55,128,690
103,21,705
29,66,727
58,165,731
121,41,738
36,115,746
60,77,758
113,47,765
97,0,772
77,77,786
161,105,792
126,106,796
87,65,799
53,105,822
72,135,833
140,72,852
153,136,855
137,116,867
135,158,873
3,104,876
30,5,886
144,8,891
95,161,906
95,103,947
88,3,949
77,85,967
3,83,986
154,0,987
58,122,996
93,113,1013
129,96,1024
69,10,1028
67,16,1048
11,130,1049
83,144,1059
38,88,1063
161,40,1065
84,125,1086
73,10,1088
121,77,1095
6,24,1112
66,7,1116
39,146,1125
9,52,1131
21,142,1135
95,119,1139
17,90,1147
15,97,1157
29,90,1160
114,89,1164
139,43,1172
4,83,1180
122,142,1183
58,98,1197
144,119,1210
91,160,1220
3,68,1223
55,83,1231
161,125,1232
92,93,1236
120,34,1265
103,119,1268
2,142,1270
121,106,1277
120,66,1283
161,105,1284
123,74,1290
10,91,1310
0,107,1315
76,60,1347
103,42,1360
0,41,1376
6,10,1387
44,61,1393
13,67,1394
98,126,1397
16,160,1433
77,110,1444
141,126,1445
10,88,1446
165,77,1458
54,148,1473
84,92,1493
17,125,1495
124,8,1522
139,36,1525
133,25,1528
163,116,1544
114,161,1545
139,98,1549
112,150,1554
133,60,1560
93,52,1570
96,93,1581
80,10,1584
140,31,1585
46,136,1586
141,136,1587
81,35,1591
95,164,1593
158,86,1610
162,18,1612
66,56,1621
40,32,1629
152,105,1637
11,71,1645
45,158,1647
135,60,1666
142,110,1683
120,5,1688
26,11,1700
7,142,1703
99,68,1704
120,138,1739
81,74,1746
24,1,1749
125,5,1750
30,135,1766
37,33,1772
108,128,1780
74,156,1784
79,24,1799
135,93,1808
154,161,1823
107,162,1829
151,19,1831
67,156,1838
61,95,1846
52,118,1858
7,21,1861
65,60,1862
74,85,1864
76,149,1867
104,110,1868
84,78,1879
28,152,1880
130,165,1882
3,137,1883
145,81,1887
6,32,1896
102,52,1897
55,105,1907
161,71,1909
106,77,1929
47,33,1945
128,125,1964
50,33,1971
76,29,1976
30,84,1997
46,80,2052
91,17,2060
81,39,2065
43,71,2069
165,69,2084
7,119,2085
156,120,2086
41,19,2090
35,79,2094
65,16,2096
115,31,2110
90,27,2111
150,13,2115
129,84,2117
131,125,2126
34,137,2156
70,100,2158
105,114,2169
12,95,2172
74,146,2176
84,39,2186
137,81,2205
96,18,2209
161,159,2210
129,40,2211
159,29,2212
87,117,2225
40,27,2227
121,31,2233
25,40,2240
27,118,2245
120,117,2253
73,124,2255
140,49,2272
17,9,2283
50,125,2289
56,16,2303
135,68,2315
149,81,2328
58,55,2329
115,36,2343
65,3,2349
18,54,2350
67,106,2366
7,58,2374
141,150,2384
87,12,2394
70,41,2398
66,115,2399
87,148,2402
108,147,2430
90,100,2437
117,10,2455
136,10,2469
65,50,2479
81,80,2481
155,48,2485
129,58,2493
136,132,2497
143,22,2527
150,32,2528
54,8,2537
113,113,2541
12,149,2543
51,160,2546
97,32,2549
152,8,2570
75,74,2577
91,45,2585
136,110,2591
47,50,2597
58,11,2614
123,161,2619
81,101,2622
132,9,2636
49,108,2645
4,165,2664
99,104,2669
59,115,2688
87,66,2700
148,45,2705
22,153,2717
124,20,2721
91,160,2737
151,101,2752
34,2,2770
42,140,2780
24,55,2801
65,122,2803
39,2,2819
66,153,2826
91,42,2833
93,10,2856
6,97,2867
25,26,2876
93,148,2877
28,98,2899
165,11,2928
105,156,2929
91,78,2935
138,122,2948
128,113,2953
44,116,2954
14,20,2961
88,131,3035
101,98,3045
48,64,3072
26,136,3091
6,34,3116
130,162,3123
121,31,3129
